ID;Status;AnzeigeName;Title;Type-Id;PT/AT Version;ZulassungStatus;Zulassung Ab;Zulassung Bis;Abgekündigt Seit;Definiert in Release
ML-119444;final;Sicherheitsgateway Bestandsnetze;gemProdT_SG_BestNetze_PTV_1.7.5-0;gemProdT_SG_BestNetze;1.7.5-0;zulassungsfähig;2020-06-30;;;R4.0.0
ML-119445;final;Sicherheitsgateway Bestandsnetze;gemProdT_SG_BestNetze_PTV_1.7.6-0;gemProdT_SG_BestNetze;1.7.6-0;zulassungsfähig;2020-11-12;;;R4.0.1
ML-119436;final;Schlüsselgenerierungsdienst ePA;gemProdT_SGD_ePA_PTV_1.1.2-2;gemProdT_SGD_ePA;1.1.2-2;zulassungsfähig;2020-11-05;;;R3.1.3 Hotfix 6
ML-119437;final;Schlüsselgenerierungsdienst ePA;gemProdT_SGD_ePA_PTV_1.1.2-3;gemProdT_SGD_ePA;1.1.2-3;zulassungsfähig;2020-11-12;;;4.0.1
ML-119434;final;Signaturdienst;gemProdT_SigD_PTV_1.1.3-0;gemProdT_SigD;1.1.3-0;zulassungsfähig;2020-06-22;;;R3.1.3 Hotfix 2 
ML-119435;final;Signaturdienst;gemProdT_SigD_PTV_1.1.3-1;gemProdT_SigD;1.1.3-1;zulassungsfähig;2020-06-30;;;R4.0.0
ML-119408;final;SMC-B (personalisiert);gemProdT_SMC-B_G2_1_PTV_4.8.0-0;gemProdT_SMC-B_G2_1;4.8.0-0;zulassungsfähig;2020-09-15;;;R4.0.0 Hotfix 1
ML-119407;final;Zulassungsobjekt SMC-B-Objektsystem;gemProdT_SMC-B_ObjSys_G2_1_PTV_4.8.0-0;gemProdT_SMC-B_ObjSys_G2_1;4.8.0-0;zulassungsfähig;2020-09-15;;;R4.0.0 Hotfix 1
ML-119480;final;Zulassungsobjekt SMC-B-Objektsystem;gemProdT_SMC-B_ObjSys_PTV_4.3.0;gemProdT_SMC-B_ObjSys;4.3.0;gültig (keine Neuzulassung);2016-11-01;2018-05-18;;R1.6.2
ML-119481;final;SMC-B (personalisiert);gemProdT_SMC-B_PTV_4.4.0-2;gemProdT_SMC-B;4.4.0-2;gültig (keine Neuzulassung);2017-04-26;2018-05-18;;R1.6.4
ML-119399;final;SMC-B (personalisiert);gemProdT_SMC-B_PTV_4.5.0-0;gemProdT_SMC-B;4.5.0-0;zulassungsfähig;2019-05-15;;;R3.1.0
ML-119519;final;Störungsampel;gemProdT_St_Ampel_PTV_1.6.1-0;gemProdT_St_Ampel;1.6.1-0;gültig (keine Neuzulassung);2017-04-26;2018-05-18;;R1.6.4
ML-119520;final;Störungsampel;gemProdT_St_Ampel_PTV_1.6.3-0;gemProdT_St_Ampel;1.6.3-0;gültig (keine Neuzulassung);2019-05-15;2020-06-30;;R3.1.0
ML-124969;Entwurf;TI-Messager Frontend;gemProdT_TIM_Client_PTV_0.0.1;gemProdT_TIM_Client;0.0.1;EOL (EndOfLife);;;;
ML-125091;geplant;TI-Messager Frontend;gemProdT_TIM_Client_PTV_1.0.0-0 CC;gemProdT_TIM_Client;1.0.0-0 CC;in Vorbereitung;;;;Release TI-Messenger 1.0.0
ML-124968;Entwurf;TI-Messager Fachdienst;gemProdT_TIM_FD_PTV_0.0.1;gemProdT_TIM_FD;0.0.1;EOL (EndOfLife);;;;
ML-125092;geplant;TI-Messager Fachdienst;gemProdT_TIM_FD_PTV_1.0.0-0 CC;gemProdT_TIM_FD;1.0.0-0 CC;in Vorbereitung;;;;Release TI-Messenger 1.0.0
ML-119521;final;TSL-Dienst;gemProdT_TSL_PTV_2.1.0-0;gemProdT_TSL;2.1.0-0;gültig (keine Neuzulassung);2019-10-09;2020-11-12;;R3.1.2
ML-119438;final;TSL-Dienst;gemProdT_TSL_PTV_2.2.0-0;gemProdT_TSL;2.2.0-0;zulassungsfähig;2021-03-05;;;R4.0.2
ML-119522;final;VPN-Zugangsdienst;gemProdT_VPN_ZugD_PTV_1.7.3-0;gemProdT_VPN_ZugD;1.7.3-0;gültig (keine Neuzulassung);2017-10-23;2018-05-18;;R1.6.4-2
ML-119523;final;VPN-Zugangsdienst;gemProdT_VPN_ZugD_PTV_1.7.4-0;gemProdT_VPN_ZugD;1.7.4-0;gültig (keine Neuzulassung);2018-05-18;2018-10-26;;R2.1.2
ML-119439;final;VPN-Zugangsdienst;gemProdT_VPN_ZugD_PTV_1.8.1-0;gemProdT_VPN_ZugD;1.8.1-0;EOL (EndOfLife);2019-10-09;2021-07-09;2021-07-09;R3.1.2
ML-119440;final;VPN-Zugangsdienst;gemProdT_VPN_ZugD_PTV_1.8.2-0;gemProdT_VPN_ZugD;1.8.2-0;EOL (EndOfLife);2020-03-03;2021-07-09;2021-07-09;R3.1.3
ML-119441;final;VPN-Zugangsdienst;gemProdT_VPN_ZugD_PTV_1.8.3-0;gemProdT_VPN_ZugD;1.8.3-0;zulassungsfähig;2020-06-30;;;R4.0.0
ML-119442;final;VPN-Zugangsdienst;gemProdT_VPN_ZugD_PTV_1.8.4-0;gemProdT_VPN_ZugD;1.8.4-0;zulassungsfähig;2020-11-12;;;R4.0.1
ML-121682;final;VPN-Zugangsdienst;gemProdT_VPN_ZugD_PTV_1.8.5-0;gemProdT_VPN_ZugD;1.8.5-0;zulassungsfähig;2021-07-09;;;R4.0.2 und Konn_Maintenance_21.3
ML-124966;Entwurf;Verzeichnisdienst FHIR;gemProdT_VZD_FHIR_PTV_0.0.1;gemProdT_VZD_FHIR;0.0.1;EOL (EndOfLife);;;;
ML-125090;geplant;Verzeichnisdienst FHIR;gemProdT_VZD_FHIR_PTV_1.0.0-0 CC;gemProdT_VZD_FHIR;1.0.0-0 CC;in Vorbereitung;;;;Release TI-Messenger 1.0.0
ML-119527;final;Verzeichnisdienst;gemProdT_VZD_PTV_1.5.0-0;gemProdT_VZD;1.5.0-0;gültig (keine Neuzulassung);2019-10-09;2021-03-05;;R3.1.2
ML-119528;final;Verzeichnisdienst;gemProdT_VZD_PTV_1.5.0-1;gemProdT_VZD;1.5.0-1;gültig (keine Neuzulassung);;;;R3.1.3  Hotfix 5
ML-119529;final;Verzeichnisdienst;gemProdT_VZD_PTV_1.5.3-0;gemProdT_VZD;1.5.3-0;gültig (keine Neuzulassung);2021-03-05;2021-04-16;;R4.0.2
ML-119446;final;Verzeichnisdienst;gemProdT_VZD_PTV_1.6.0-0;gemProdT_VZD;1.6.0-0;zulassungsfähig;2021-04-16;;;KIM 1.5.1
ML-122907;Entwurf;Verzeichnisdienst;gemProdT_VZD_PTV_1.6.x-0;gemProdT_VZD;1.6.x-0;in Vorbereitung;;;;
ML-119498;final;gematik-Root-CA;gemProdT_X509_gematik_Root_CA_PTV_1.4.0-1;gemProdT_X509_gematik_Root_CA;1.4.0-1;gültig (keine Neuzulassung);2017-10-23;2018-05-18;;R1.6.4-2
ML-119531;final;Trust Service Provider X.509 (nonQES) – eGK;gemProdT_X509_TSP_nonQES_eGK_PTV_1.7.1-0;gemProdT_X509_TSP_nonQES_eGK;1.7.1-0;gültig (keine Neuzulassung);2017-12-06;2018-05-18;;R1.6.4-3
ML-119532;final;Trust Service Provider X.509 (nonQES) – eGK;gemProdT_X509_TSP_nonQES_eGK_PTV_1.7.2-0;gemProdT_X509_TSP_nonQES_eGK;1.7.2-0;gültig (keine Neuzulassung);2018-05-18;2018-10-26;;R2.1.2
ML-119533;final;Trust Service Provider X.509 (nonQES) – eGK;gemProdT_X509_TSP_nonQES_eGK_PTV_1.7.3-0;gemProdT_X509_TSP_nonQES_eGK;1.7.3-0;gültig (keine Neuzulassung);2018-10-26;2019-05-15;;R2.1.3
ML-119448;final;Trust Service Provider X.509 (nonQES) – eGK;gemProdT_X509_TSP_nonQES_eGK_PTV_1.8.2-1;gemProdT_X509_TSP_nonQES_eGK;1.8.2-1;zulassungsfähig;2020-06-30;;;R4.0.0
ML-119534;final;Trust Service Provider X.509 (nonQES) – HBA;gemProdT_X509_TSP_nonQES_HBA_PTV_1.7.2-0;gemProdT_X509_TSP_nonQES_HBA;1.7.2-0;gültig (keine Neuzulassung);2018-05-18;2018-10-26;;R2.1.2
ML-119535;final;Trust Service Provider X.509 (nonQES) – HBA;gemProdT_X509_TSP_nonQES_HBA_PTV_1.7.3-0;gemProdT_X509_TSP_nonQES_HBA;1.7.3-0;gültig (keine Neuzulassung);2018-10-26;2019-05-15;;R2.1.3
ML-119536;final;Trust Service Provider X.509 (nonQES) – HBA;gemProdT_X509_TSP_nonQES_HBA_PTV_1.8.0-0;gemProdT_X509_TSP_nonQES_HBA;1.8.0-0;gültig (keine Neuzulassung);2019-05-15;2019-10-09;;R3.1.0
ML-119449;final;Trust Service Provider X.509 (nonQES) – HBA;gemProdT_X509_TSP_nonQES_HBA_PTV_1.8.3-0;gemProdT_X509_TSP_nonQES_HBA;1.8.3-0;zulassungsfähig;2020-06-30;;;R4.0.0
ML-119530;final;Trust Service Provider X.509 (nonQES) – Komp;gemProdT_X509_TSP_nonQES_Komp_PTV_1.10.1-0;gemProdT_X509_TSP_nonQES_Komp;1.10.1-0;gültig (keine Neuzulassung);2019-10-09;2020-06-30;;R3.1.2
ML-119447;final;Trust Service Provider X.509 (nonQES) – Komp;gemProdT_X509_TSP_nonQES_Komp_PTV_1.10.2-0;gemProdT_X509_TSP_nonQES_Komp;1.10.2-0;gültig (keine Neuzulassung);2020-06-30;2021-06-30;;R4.0.0
ML-121513;final;Trust Service Provider X.509 (nonQES) – Komp;gemProdT_X509_TSP_nonQES_Komp_PTV_1.10.3-0;gemProdT_X509_TSP_nonQES_Komp;1.10.3-0;zulassungsfähig;2021-06-30;;;gSMC-K_Laufzeitverlängerung
